sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Female,21,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,40-44,White,Married-civ-spouse,Undergraduate,United-States,Private,Craft-repair,<=50K
Female,40-44,*,spouse not present,High School,United-States,Private,Other,<=50K
Female,45-49,White,spouse not present,Some-college,United-States,Private,Other,<=50K
Female,25-29,White,Never-married,Bachelors,United-States,Non-Government,Other,<=50K
Male,60-69,White,Married-civ-spouse,High School,United-States,Private,Nontechnical,<=50K
Male,50-54,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,>50K
Male,60-79,White,Married-civ-spouse,*,*,Private,Other,<=50K
Male,60-79,White,Married-civ-spouse,Undergraduate,United-States,Private,Exec-managerial,>50K
Female,40-49,White,spouse not present,Some-college,United-States,Non-Government,Sales,<=50K
Male,50-59,Black,Married-civ-spouse,*,North America,Private,Other,<=50K
Female,25-29,White,spouse not present,High School,United-States,Private,Other,<=50K
Male,23,White,spouse not present,High School,*,Private,Technical,<=50K
Male,30-34,White,Married-civ-spouse,Some-college,North America,Non-Government,Craft-repair,<=50K
Female,60-79,White,spouse not present,Higher education,United-States,Government,*,>50K
Male,50-54,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,>50K
Female,20-24,White,Never-married,Bachelors,United-States,Private,Other,<=50K
Male,45-49,White,Married-civ-spouse,HS-grad,United-States,Private,Protective-serv,>50K
Female,40-59,Black,spouse not present,Some-college,United-States,Private,Other,<=50K
Female,20,*,Never-married,Higher education,United-States,Private,*,<=50K
Male,40-59,White,Married-civ-spouse,Prof-school,United-States,Self-emp-not-inc,Prof-specialty,>50K
Male,55-59,White,Married-civ-spouse,High School,North America,Private,Machine-op-inspct,<=50K
Male,20-39,White,Married-civ-spouse,High School,United-States,Self-emp-not-inc,Exec-managerial,<=50K
Male,40-44,White,Married-civ-spouse,Graduate,*,Private,Exec-managerial,>50K
Female,20-39,White,Never-married,Assoc-acdm,United-States,Private,Other,<=50K
Male,50-54,White,Married-civ-spouse,High School,United-States,Non-Government,Farming-fishing,>50K
Male,40-44,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,80-89,*,*,*,United-States,Non-Government,*,<=50K
Male,50-54,White,Married-civ-spouse,High School,United-States,Local-gov,Other,<=50K
Male,20-24,White,Never-married,Undergraduate,United-States,Private,Handlers-cleaners,<=50K
Female,15-19,*,*,HS-grad,North America,Private,*,<=50K
Male,20-24,White,Never-married,Undergraduate,United-States,Private,Craft-repair,<=50K
Male,20-39,White,Married-civ-spouse,Higher education,United-States,Non-Government,Other-service,<=50K
Male,40-44,White,Married-civ-spouse,Undergraduate,North America,Government,Other,>50K
Male,50-54,White,Married-civ-spouse,HS-grad,United-States,Private,Prof-specialty,<=50K
Male,40-59,White,Married-civ-spouse,High School,North America,State-gov,Other,<=50K
Male,30-39,White,spouse not present,Some-college,United-States,Private,Exec-managerial,<=50K
Male,40-59,White,Married-civ-spouse,Assoc-acdm,United-States,Government,Other,>50K
Male,40-49,White,spouse not present,*,North America,Private,Adm-clerical,<=50K
Female,50-59,White,spouse not present,High School,United-States,Non-Government,Exec-managerial,<=50K
Female,15-19,*,*,HS-grad,United-States,Government,*,<=50K
Female,20-24,White,Never-married,Assoc-voc,United-States,Private,Other,<=50K
Female,60-79,White,spouse not present,High School,United-States,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Tech-support,<=50K
Male,40-49,White,Married-civ-spouse,Higher education,United-States,State-gov,Nontechnical,>50K
Male,20-39,Other,*,*,North America,Private,*,<=50K
Female,23,White,spouse not present,HS-grad,United-States,Private,Other,<=50K
Female,30-39,White,Divorced,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,20-39,Black,spouse not present,Undergraduate,United-States,Private,Technical,<=50K
Female,40-44,*,spouse not present,High School,United-States,Private,Other,<=50K
Female,18,*,Never-married,Some-college,North America,Private,*,<=50K
Male,19,*,Never-married,Some-college,*,Private,Sales,<=50K
Female,35-39,White,Divorced,High School,United-States,Private,Other-service,<=50K
Male,18,*,Never-married,*,United-States,Non-Government,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,Prof-school,United-States,Self-emp-not-inc,Prof-specialty,>50K
Female,50-59,White,spouse not present,Bachelors,North America,Non-Government,Technical,<=50K
Female,20,*,Never-married,Higher education,United-States,Private,*,<=50K
Male,30-39,White,spouse not present,Undergraduate,United-States,Private,Craft-repair,<=50K
Male,45-49,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,19,White,Never-married,High School,United-States,Private,Handlers-cleaners,<=50K
Female,20-39,White,Never-married,Undergraduate,United-States,Government,Technical,<=50K
Male,30-34,White,Married-civ-spouse,High School,United-States,Private,Technical,<=50K
Female,60-79,Black,spouse not present,*,United-States,Private,*,<=50K
Male,50-59,White,Married-civ-spouse,High School,United-States,Private,Sales,<=50K
Male,40-44,White,Married-civ-spouse,High School,North America,Private,Machine-op-inspct,<=50K
Male,60-79,White,Married-civ-spouse,Undergraduate,United-States,Non-Government,Prof-specialty,>50K
Female,40-59,White,spouse not present,Undergraduate,North America,Government,Other,<=50K
Male,18,*,Never-married,*,United-States,Non-Government,Nontechnical,<=50K
Female,40-59,White,Married-civ-spouse,High School,United-States,Non-Government,Other-service,<=50K
Female,30-34,White,spouse not present,High School,United-States,Private,Technical,<=50K
Male,50-54,White,spouse not present,*,United-States,Private,Nontechnical,<=50K
Male,60-79,White,Married-civ-spouse,High School,*,Non-Government,Technical,<=50K
Male,25-29,White,spouse not present,High School,*,Private,Technical,<=50K
Female,20-39,Black,spouse not present,Undergraduate,United-States,Private,Technical,<=50K
Male,20-29,White,Married-civ-spouse,Some-college,United-States,Private,Sales,<=50K
Male,20-39,White,Married-civ-spouse,Higher education,North America,Federal-gov,Other,>50K
Male,60-79,Asian-Pac-Islander,Married-civ-spouse,*,*,Non-Government,*,<=50K
Male,30-34,White,Married-civ-spouse,Some-college,North America,Non-Government,Craft-repair,>50K
Female,50-54,*,spouse not present,High School,United-States,Private,Other,<=50K
Female,40-44,*,spouse not present,Higher education,United-States,Government,Technical,>50K
Male,30-39,White,Married-civ-spouse,Some-college,United-States,Local-gov,Technical,<=50K
Male,20-29,White,Never-married,Some-college,United-States,Non-Government,Adm-clerical,<=50K
Male,30-39,White,Never-married,Professional Education,United-States,Non-Government,Technical,<=50K
Female,25-29,White,Never-married,Some-college,United-States,Private,Other,<=50K
Male,30-39,White,spouse not present,Undergraduate,United-States,Private,Sales,>50K
Male,40-49,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Technical,<=50K
Male,40-49,White,Married-civ-spouse,Higher education,United-States,Non-Government,Farming-fishing,<=50K
Male,20-29,Black,spouse not present,HS-grad,United-States,Private,Other,<=50K
Male,20-29,White,Married-civ-spouse,Undergraduate,*,Private,Exec-managerial,>50K
Male,17,White,Never-married,High School,United-States,Private,Nontechnical,<=50K
Male,40-59,Asian-Pac-Islander,Married-civ-spouse,Undergraduate,Philippines,Non-Government,*,<=50K
Male,20-39,White,Married-civ-spouse,High School,Mexico,Private,Handlers-cleaners,<=50K
Male,30-39,White,spouse not present,Higher education,*,Federal-gov,*,<=50K
Male,35-39,White,Married-civ-spouse,Some-college,*,Private,Craft-repair,<=50K
Male,20-39,Black,Never-married,Undergraduate,United-States,Government,*,<=50K
Male,30-39,White,Married-civ-spouse,Primary School,North America,Private,*,<=50K
Male,40-49,White,Married-civ-spouse,Undergraduate,United-States,Private,Adm-clerical,>50K
Female,15-19,*,*,HS-grad,North America,Private,*,<=50K
Female,40-49,White,spouse not present,Some-college,United-States,Non-Government,Sales,<=50K
Male,40-59,White,spouse not present,*,Europe,Non-Government,*,<=50K
Male,20-39,Black,spouse not present,High School,United-States,Non-Government,Nontechnical,<=50K
Female,35-39,White,Never-married,High School,North America,Private,Other,<=50K
Male,20-39,White,Never-married,Professional Education,United-States,Private,Adm-clerical,<=50K
Male,15-19,White,Never-married,Higher education,United-States,Non-Government,Farming-fishing,<=50K
Male,30-39,White,Married-civ-spouse,Some-college,United-States,Private,Prof-specialty,>50K
Female,50-54,*,spouse not present,High School,North America,Private,Technical,<=50K
Male,30-34,Black,spouse not present,High School,United-States,Private,Other,<=50K
Male,40-44,White,Married-civ-spouse,Masters,United-States,Local-gov,Prof-specialty,>50K
Male,22,White,Never-married,High School,United-States,Private,Technical,<=50K
Female,23,White,Never-married,Some-college,North America,Private,Other-service,<=50K
Male,40-59,Amer-Indian-Eskimo,*,High School,United-States,*,*,<=50K
Male,55-59,White,Married-civ-spouse,High School,North America,Private,Machine-op-inspct,<=50K
Female,70-74,White,spouse not present,Some-college,United-States,Private,Other,<=50K
Female,50-59,White,spouse not present,Undergraduate,United-States,Non-Government,Sales,<=50K
Male,45-49,White,Married-civ-spouse,Some-college,North America,Local-gov,Other,>50K
Female,55-59,*,Divorced,HS-grad,United-States,Non-Government,Other-service,<=50K
Female,15-19,*,Never-married,11th,United-States,Private,Adm-clerical,<=50K
Female,30-39,White,spouse not present,Undergraduate,United-States,Private,Exec-managerial,<=50K
Male,35-39,White,Married-civ-spouse,High School,United-States,Private,Transport-moving,<=50K
Male,20-39,White,Married-civ-spouse,Undergraduate,United-States,Self-emp-inc,Exec-managerial,>50K
Female,20-39,Black,Married-civ-spouse,Higher education,United-States,Government,Prof-specialty,>50K
Female,20-39,Black,Married-civ-spouse,Higher education,North America,Private,*,<=50K
Male,15-19,*,Never-married,11th,United-States,*,Technical,<=50K
Male,18,White,Never-married,High School,United-States,*,Other,<=50K
Male,20-39,White,Divorced,HS-grad,United-States,Government,*,<=50K
Female,40-59,Black,spouse not present,Some-college,United-States,Private,Nontechnical,<=50K
Male,30-39,White,Married-civ-spouse,High School,United-States,Non-Government,Other-service,<=50K
Female,40-59,White,spouse not present,Undergraduate,North America,Government,Other,<=50K
Male,15-19,*,Never-married,11th,United-States,*,Technical,<=50K
Female,30-39,White,spouse not present,HS-grad,North America,Government,*,<=50K
Male,40-44,White,spouse not present,High School,United-States,Non-Government,Technical,<=50K
Male,30-39,White,Married-civ-spouse,Masters,North America,Private,Exec-managerial,>50K
Male,50-54,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,>50K
Male,20-39,White,Married-civ-spouse,High School,United-States,Government,*,<=50K
Male,20-39,White,Never-married,High School,United-States,Government,*,<=50K
Female,25-29,White,Never-married,Some-college,United-States,Private,Other,<=50K
Female,50-59,White,spouse not present,High School,United-States,Non-Government,Exec-managerial,<=50K
Male,50-59,White,Married-civ-spouse,High School,North America,Private,Other-service,>50K
Male,50-59,White,Married-civ-spouse,Professional Education,United-States,Private,Exec-managerial,>50K
Male,20-29,White,Married-civ-spouse,Bachelors,*,Private,Sales,<=50K
Male,30-39,White,Never-married,High School,North America,Private,Other,<=50K
Female,30-39,Black,Divorced,HS-grad,United-States,Private,Other,<=50K
Female,21,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Female,18,*,Never-married,Some-college,North America,Private,*,<=50K
Female,20-39,Black,Never-married,Professional Education,United-States,Non-Government,Technical,<=50K
Male,60-79,White,spouse not present,*,United-States,*,Nontechnical,<=50K
Male,40-49,White,Married-civ-spouse,Higher education,United-States,Non-Government,Farming-fishing,>50K
Female,30-34,White,spouse not present,HS-grad,United-States,Private,Nontechnical,<=50K
Male,40-49,White,Married-civ-spouse,High School,United-States,Non-Government,Farming-fishing,<=50K
Female,30-39,White,spouse not present,Higher education,United-States,Government,Exec-managerial,<=50K
Male,35-39,White,Never-married,Bachelors,United-States,Private,Prof-specialty,>50K
Male,40-59,Amer-Indian-Eskimo,*,High School,United-States,*,*,<=50K
Male,40-49,White,spouse not present,*,North America,Private,Adm-clerical,<=50K
Male,40-59,White,Married-civ-spouse,HS-grad,United-States,Private,Tech-support,>50K
Female,20-39,White,spouse not present,Primary School,North America,Private,Other,<=50K
Male,30-39,White,spouse not present,Primary School,North America,Private,*,<=50K
Male,30-34,White,Married-civ-spouse,High School,United-States,Private,Technical,<=50K
Male,25-29,White,Married-civ-spouse,High School,United-States,Non-Government,Craft-repair,<=50K
Male,20,*,Never-married,*,North America,*,Nontechnical,<=50K
Male,20-39,Black,Married-civ-spouse,Higher education,United-States,Government,*,>50K
Female,35-39,White,Married-civ-spouse,Higher education,*,Non-Government,Nontechnical,>50K
Male,40-44,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,17,White,Never-married,High School,United-States,Private,Nontechnical,<=50K
Female,45-49,*,spouse not present,Higher education,United-States,Government,Technical,<=50K
Female,15-19,*,spouse not present,10th,United-States,Private,Sales,<=50K
Male,45-49,White,Divorced,*,United-States,Private,Nontechnical,>50K
Male,40-44,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,<=50K
Female,50-54,*,spouse not present,High School,North America,Private,Technical,<=50K
Male,20-29,White,Married-civ-spouse,Some-college,North America,Private,Machine-op-inspct,<=50K
Male,45-49,White,Married-civ-spouse,High School,North America,Private,Craft-repair,<=50K
Male,40-59,Black,Married-civ-spouse,High School,North America,Private,Technical,<=50K
Male,30-34,White,Married-civ-spouse,Some-college,United-States,Private,Sales,<=50K
Female,20-24,White,Never-married,Bachelors,United-States,Private,Other,<=50K
Female,40-59,Black,spouse not present,Some-college,United-States,Private,Other,<=50K
Male,20-39,White,spouse present,Higher education,United-States,Non-Government,Farming-fishing,<=50K
Male,45-49,White,Divorced,*,United-States,Private,Nontechnical,<=50K
