sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Male,20-39,White,Never-married,HS-grad,United-States,Non-Government,Transport-moving,<=50K
Male,20-39,White,Married-civ-spouse,High School,United-States,Private,Handlers-cleaners,<=50K
Male,20-29,White,spouse not present,High School,North America,Private,Other,<=50K
Male,20-24,White,Never-married,High School,North America,Private,Machine-op-inspct,<=50K
Male,40-49,White,Married-civ-spouse,Professional Education,United-States,Private,Sales,>50K
Male,20-39,White,*,*,North America,Private,*,<=50K
*,20-39,*,*,*,*,Private,*,<=50K
Female,*,Black,spouse not present,*,North America,Private,Other,<=50K
*,*,Black,spouse not present,*,United-States,*,*,<=50K
Male,20-29,*,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,*,*,Never-married,HS-grad,United-States,*,Adm-clerical,<=50K
Male,20-39,White,Never-married,HS-grad,United-States,Self-emp-not-inc,*,<=50K
Male,60-79,White,Married-civ-spouse,HS-grad,United-States,Non-Government,Nontechnical,<=50K
Male,40-59,White,spouse not present,*,United-States,Private,Craft-repair,<=50K
Female,20-39,*,*,*,*,Private,Other,<=50K
Female,40-59,White,Divorced,Some-college,United-States,Private,Nontechnical,<=50K
Female,*,*,Never-married,HS-grad,North America,Private,Technical,<=50K
Male,40-59,White,Married-civ-spouse,Higher education,United-States,Self-emp-not-inc,Prof-specialty,<=50K
Female,40-59,White,spouse not present,*,United-States,Non-Government,*,<=50K
Male,40-44,White,Married-civ-spouse,Undergraduate,United-States,Private,Nontechnical,>50K
Male,40-59,White,Married-civ-spouse,Higher education,United-States,Government,Exec-managerial,<=50K
Female,*,White,Married-civ-spouse,*,United-States,Private,*,>50K
*,20-39,*,spouse not present,Higher education,*,Private,*,<=50K
Female,15-19,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,20-39,White,Married-civ-spouse,Higher education,United-States,Private,Other,<=50K
Male,20-29,White,Never-married,Higher education,United-States,Non-Government,Other,<=50K
Female,20-24,White,Never-married,HS-grad,United-States,Private,Other,<=50K
Male,*,White,spouse not present,Higher education,United-States,Non-Government,Nontechnical,>50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Technical,<=50K
Male,15-19,White,Never-married,High School,United-States,Private,Nontechnical,<=50K
Male,20-29,White,Never-married,Undergraduate,United-States,Private,Sales,<=50K
Female,*,White,spouse not present,Undergraduate,United-States,Government,Adm-clerical,<=50K
Male,*,White,Married-civ-spouse,Undergraduate,United-States,Private,*,<=50K
Male,20-39,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Female,20-39,*,Never-married,Higher education,North America,Private,Other,<=50K
Female,20-39,White,spouse not present,Higher education,North America,Private,Other,<=50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,>50K
Female,25-29,White,*,High School,North America,Private,Other-service,<=50K
Male,50-54,White,Married-civ-spouse,Bachelors,United-States,Private,Nontechnical,>50K
Female,20-39,White,spouse not present,High School,United-States,Private,Sales,<=50K
Male,20-39,*,Never-married,High School,North America,Private,Technical,<=50K
Male,50-59,White,Married-civ-spouse,High School,United-States,*,Technical,>50K
Female,20-39,White,Never-married,Higher education,United-States,Non-Government,Technical,<=50K
Female,40-59,White,spouse not present,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,*,White,spouse not present,*,United-States,Private,*,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,United-States,Self-emp-inc,Nontechnical,>50K
Male,30-39,White,Married-civ-spouse,Some-college,United-States,Private,Machine-op-inspct,<=50K
Female,21,White,Never-married,High School,United-States,Private,Other,<=50K
Female,*,White,Never-married,HS-grad,United-States,Private,Nontechnical,<=50K
Male,30-39,White,Married-civ-spouse,Higher education,United-States,Private,Nontechnical,<=50K
Male,*,Black,spouse not present,High School,United-States,Non-Government,Other,<=50K
Male,30-39,White,Married-civ-spouse,Higher education,United-States,Federal-gov,*,<=50K
Male,40-59,White,Married-civ-spouse,*,North America,Self-emp-not-inc,Nontechnical,<=50K
Female,20-39,White,spouse not present,High School,United-States,Private,Other-service,<=50K
Male,40-49,White,Married-civ-spouse,HS-grad,United-States,Non-Government,Craft-repair,>50K
Male,30-39,White,Divorced,HS-grad,United-States,Private,Technical,<=50K
Male,20-39,White,spouse not present,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,40-59,White,Married-civ-spouse,Higher education,United-States,Non-Government,Other,<=50K
Male,20-29,*,*,HS-grad,United-States,Private,Nontechnical,<=50K
Female,20-39,Black,spouse not present,*,United-States,Non-Government,*,<=50K
Female,20-39,White,Never-married,Bachelors,North America,Private,Exec-managerial,<=50K
Female,20-24,White,Never-married,HS-grad,United-States,Private,Other,<=50K
Female,*,White,Married-civ-spouse,*,North America,Non-Government,*,<=50K
Female,40-59,White,Divorced,Higher education,United-States,Private,Technical,<=50K
Female,20-29,White,Never-married,Undergraduate,United-States,Private,Exec-managerial,<=50K
Male,40-49,White,Married-civ-spouse,Some-college,United-States,*,*,>50K
Female,25-29,White,spouse not present,Higher education,United-States,Private,*,<=50K
Male,20-39,White,Married-civ-spouse,*,United-States,Private,Machine-op-inspct,<=50K
Male,20-39,White,Married-civ-spouse,Higher education,United-States,Private,Nontechnical,<=50K
Male,40-59,*,*,High School,United-States,Non-Government,Other-service,<=50K
Female,30-39,White,Never-married,Higher education,United-States,Private,Nontechnical,<=50K
Male,50-59,White,Married-civ-spouse,High School,United-States,Non-Government,Other,<=50K
Female,20-39,White,Married-civ-spouse,Higher education,North America,Private,Other,>50K
Male,20-29,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
*,*,White,Married-civ-spouse,High School,*,Non-Government,*,<=50K
Male,*,White,Married-civ-spouse,Some-college,United-States,Government,*,>50K
Female,*,White,spouse not present,Higher education,*,Private,*,<=50K
Male,40-59,White,Married-civ-spouse,High School,United-States,Non-Government,Craft-repair,<=50K
Female,20-29,White,Never-married,Higher education,United-States,Private,Other-service,<=50K
Male,60-69,White,Married-civ-spouse,Undergraduate,United-States,Private,Other,>50K
Female,20-39,White,Never-married,High School,United-States,Private,Sales,<=50K
Male,20-24,White,Never-married,Undergraduate,United-States,Private,Other,<=50K
Male,18,White,Never-married,High School,United-States,Private,Nontechnical,<=50K
Male,25-29,White,Married-civ-spouse,HS-grad,United-States,Non-Government,Technical,>50K
Male,40-49,White,*,Graduate,United-States,State-gov,Prof-specialty,<=50K
Male,*,White,Never-married,Higher education,United-States,Private,Prof-specialty,<=50K
Male,40-59,White,Married-civ-spouse,Undergraduate,United-States,*,Technical,>50K
Male,20-39,White,Married-civ-spouse,High School,United-States,Private,Craft-repair,<=50K
Female,25-29,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,15-19,White,Never-married,High School,North America,Private,Other-service,<=50K
Female,20-39,*,Never-married,Undergraduate,United-States,Private,Prof-specialty,<=50K
Male,20-39,Black,Never-married,High School,United-States,Private,Other,<=50K
Female,20-29,*,spouse not present,High School,United-States,Private,*,<=50K
Male,20-29,White,Never-married,Higher education,United-States,Non-Government,Other,<=50K
Male,40-59,White,Married-civ-spouse,Professional Education,United-States,Self-emp-not-inc,Prof-specialty,>50K
Male,60-64,White,Married-civ-spouse,High School,United-States,Non-Government,Exec-managerial,<=50K
Male,30-39,White,Married-civ-spouse,Some-college,United-States,Private,Machine-op-inspct,<=50K
Female,20-39,White,Married-civ-spouse,Higher education,United-States,Non-Government,Technical,<=50K
Female,20-39,White,Never-married,Bachelors,North America,Private,Exec-managerial,<=50K
Male,40-49,White,spouse not present,HS-grad,United-States,Private,Nontechnical,<=50K
Female,15-19,White,Never-married,High School,United-States,Private,Sales,<=50K
Male,40-49,White,Married-civ-spouse,Undergraduate,United-States,Non-Government,Exec-managerial,>50K
Male,*,White,Married-civ-spouse,Undergraduate,United-States,Private,*,>50K
Male,20-39,White,Married-civ-spouse,Undergraduate,North America,Private,Transport-moving,<=50K
*,20-39,*,spouse not present,Higher education,*,Private,*,<=50K
Female,15-19,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Private,Technical,>50K
Male,40-59,White,Never-married,High School,*,Private,*,<=50K
Male,55-59,White,Married-civ-spouse,*,North America,Non-Government,Other,<=50K
Male,20-39,*,Married-civ-spouse,*,United-States,Non-Government,*,>50K
Female,20-39,Black,spouse not present,*,United-States,Non-Government,*,<=50K
Male,20-29,*,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,30-39,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K
Male,*,White,Married-civ-spouse,HS-grad,United-States,Private,Technical,>50K
Male,20-39,White,spouse not present,Undergraduate,United-States,Non-Government,Craft-repair,<=50K
Female,20-39,White,spouse not present,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,40-49,White,Married-civ-spouse,Some-college,United-States,*,*,>50K
Male,40-59,White,Married-civ-spouse,Higher education,United-States,Non-Government,Other,<=50K
Male,*,Asian-Pac-Islander,Married-civ-spouse,*,*,Non-Government,*,>50K
Male,20-39,White,Married-civ-spouse,High School,United-States,Private,Technical,>50K
Male,20-39,White,Never-married,Some-college,United-States,Non-Government,Technical,<=50K
Male,40-59,White,spouse not present,HS-grad,United-States,Non-Government,Other,>50K
Male,20-39,White,Married-civ-spouse,Undergraduate,United-States,Non-Government,Sales,>50K
Male,*,White,spouse not present,Higher education,United-States,Non-Government,Nontechnical,<=50K
*,40-59,Black,*,Higher education,United-States,Government,*,<=50K
Female,15-19,White,Never-married,HS-grad,North America,Private,Other-service,<=50K
Male,20-39,White,Married-civ-spouse,*,United-States,Self-emp-not-inc,Nontechnical,<=50K
Female,*,*,*,*,North America,*,*,<=50K
Female,30-39,White,Never-married,Higher education,United-States,Private,Nontechnical,<=50K
Female,40-59,White,Divorced,High School,United-States,Private,*,<=50K
Male,40-59,*,Married-civ-spouse,Higher education,*,*,*,<=50K
Male,*,*,spouse not present,*,United-States,Private,Technical,<=50K
Male,40-59,White,*,Higher education,*,Non-Government,Nontechnical,<=50K
*,*,White,Married-civ-spouse,High School,*,Non-Government,*,<=50K
Male,40-59,White,Married-civ-spouse,Higher education,United-States,Government,*,<=50K
Male,40-49,White,Married-civ-spouse,Some-college,United-States,*,*,>50K
Male,40-59,White,Married-civ-spouse,Undergraduate,United-States,*,Technical,>50K
*,*,*,spouse not present,High School,United-States,Government,Other,<=50K
*,*,*,*,High School,*,Private,Other-service,<=50K
Male,20-39,White,Never-married,Some-college,North America,Private,*,<=50K
Female,*,White,*,Higher education,United-States,Non-Government,*,>50K
Male,20-29,White,Never-married,HS-grad,United-States,Private,Nontechnical,<=50K
Male,20-39,Asian-Pac-Islander,*,*,*,Private,*,<=50K
Female,*,White,Never-married,Higher education,North America,*,Technical,<=50K
Male,15-19,White,Never-married,High School,North America,Private,Other-service,<=50K
Male,20-39,*,*,HS-grad,United-States,*,Technical,<=50K
Female,40-59,White,*,*,*,Private,Other,<=50K
Male,60-79,White,*,Higher education,United-States,Non-Government,*,<=50K
Female,40-59,White,spouse not present,High School,United-States,Private,Nontechnical,<=50K
Male,40-59,White,Married-civ-spouse,High School,United-States,Non-Government,Craft-repair,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,United-States,Non-Government,Other,<=50K
Male,20-29,*,*,HS-grad,United-States,Private,Nontechnical,<=50K
*,*,*,spouse not present,High School,United-States,Government,*,<=50K
Male,45-49,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Male,20-39,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,40-59,White,*,Higher education,United-States,Local-gov,*,<=50K
Female,*,White,spouse not present,Higher education,United-States,Private,Technical,<=50K
Female,20-39,White,Married-civ-spouse,HS-grad,United-States,Non-Government,*,>50K
Male,20-29,*,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,30-34,White,Married-civ-spouse,Undergraduate,United-States,Non-Government,Technical,<=50K
Male,50-54,White,Married-civ-spouse,High School,United-States,Private,Craft-repair,>50K
Female,20-39,White,spouse not present,*,*,Private,Technical,<=50K
Male,30-34,White,Married-civ-spouse,HS-grad,United-States,Non-Government,Nontechnical,<=50K
Male,20-39,*,Never-married,Undergraduate,United-States,Non-Government,Technical,<=50K
Female,15-19,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Female,*,White,Never-married,Professional Education,United-States,Private,Nontechnical,<=50K
Female,20-29,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,40-59,White,Married-civ-spouse,Higher education,United-States,Government,*,>50K
Female,*,*,Never-married,HS-grad,North America,Private,Technical,<=50K
Male,40-49,*,spouse not present,High School,*,Non-Government,Technical,<=50K
Male,25-29,White,spouse not present,HS-grad,United-States,Private,Other,<=50K
*,*,*,spouse not present,Higher education,United-States,Government,*,<=50K
Male,60-69,White,Married-civ-spouse,*,United-States,*,*,<=50K
Female,*,*,*,Undergraduate,United-States,*,Nontechnical,<=50K
Female,20-39,White,spouse not present,Undergraduate,United-States,Private,Nontechnical,<=50K
Male,20-39,White,Divorced,High School,United-States,Private,Nontechnical,<=50K
Male,20-39,White,Married-civ-spouse,*,North America,Private,Prof-specialty,>50K
Female,*,White,spouse not present,Higher education,United-States,Private,Technical,<=50K
Male,30-34,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,40-59,White,Married-civ-spouse,Graduate,United-States,Government,Prof-specialty,<=50K
Male,*,White,Never-married,Higher education,United-States,Private,Prof-specialty,<=50K
Female,20-39,White,Divorced,Higher education,United-States,Private,*,<=50K
Male,20-39,White,Separated,Undergraduate,United-States,Non-Government,*,<=50K
Male,60-64,White,Married-civ-spouse,High School,United-States,Non-Government,Exec-managerial,>50K
Female,*,*,spouse not present,*,United-States,Local-gov,*,<=50K
Male,*,White,Married-civ-spouse,High School,United-States,Local-gov,*,<=50K
Female,40-59,White,spouse not present,Bachelors,United-States,Private,Nontechnical,<=50K
Female,30-34,*,*,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,*,White,*,Some-college,United-States,Private,*,<=50K
Male,30-34,White,Never-married,HS-grad,United-States,Non-Government,Other,<=50K
Female,20-39,*,Never-married,Higher education,North America,Private,Other,<=50K
Female,20-39,*,Never-married,Higher education,North America,Private,Other,<=50K
