sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
Female,52,White,Divorced,HS-grad,England,State-gov,Adm-clerical,<=50K
Female,61,Asian-Pac-Islander,Divorced,HS-grad,Japan,Private,Adm-clerical,<=50K
Female,36,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Female,33,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Female,31,White,Widowed,HS-grad,United-States,Private,Craft-repair,<=50K
Male,33,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Female,58,White,Widowed,Assoc-voc,United-States,Private,Prof-specialty,<=50K
Female,30,White,Divorced,Assoc-acdm,United-States,Self-emp-not-inc,Adm-clerical,<=50K
Male,39,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,30,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Protective-serv,<=50K
Male,31,White,Divorced,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,23,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,37,White,Never-married,HS-grad,United-States,Private,Tech-support,>50K
Male,49,White,Married-civ-spouse,Prof-school,United-States,Private,Prof-specialty,>50K
Male,31,White,Never-married,1st-4th,Mexico,Private,Handlers-cleaners,<=50K
Male,38,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,73,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,51,White,Married-civ-spouse,5th-6th,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,30,White,Divorced,7th-8th,United-States,Private,Transport-moving,<=50K
Male,26,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,36,White,Never-married,Bachelors,United-States,Private,Exec-managerial,<=50K
Female,67,Black,Married-civ-spouse,HS-grad,United-States,Private,Priv-house-serv,<=50K
Male,47,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,>50K
Male,26,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Male,48,White,Divorced,HS-grad,United-States,Private,Transport-moving,<=50K
Female,45,White,Never-married,Some-college,United-States,Private,Craft-repair,<=50K
Male,41,White,Married-civ-spouse,Bachelors,United-States,Self-emp-inc,Sales,>50K
Male,77,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Exec-managerial,<=50K
Male,38,White,Married-spouse-absent,11th,Mexico,Private,Transport-moving,<=50K
Male,33,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,>50K
Female,24,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Female,22,White,Never-married,Some-college,United-States,Private,Sales,<=50K
Male,25,White,Married-civ-spouse,10th,Guatemala,Private,Machine-op-inspct,<=50K
Female,54,White,Divorced,Some-college,United-States,Private,Exec-managerial,<=50K
Female,36,White,Married-civ-spouse,Masters,United-States,Local-gov,Prof-specialty,>50K
Male,45,White,Divorced,Masters,United-States,Private,Transport-moving,>50K
Female,42,White,Never-married,Doctorate,United-States,Self-emp-not-inc,Prof-specialty,<=50K
Female,38,White,Never-married,Masters,United-States,Private,Adm-clerical,<=50K
Male,23,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,42,White,Divorced,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,31,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K
Male,26,White,Married-civ-spouse,Some-college,United-States,Private,Sales,<=50K
Male,29,White,Never-married,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,40,White,Married-civ-spouse,Assoc-voc,United-States,Private,Tech-support,>50K
Female,25,Black,Never-married,Bachelors,United-States,Private,Sales,<=50K
Male,34,White,Never-married,Prof-school,United-States,Private,Exec-managerial,<=50K
Male,34,White,Married-civ-spouse,Assoc-voc,United-States,Private,Machine-op-inspct,<=50K
Female,39,White,Divorced,Some-college,United-States,Private,Adm-clerical,<=50K
Male,66,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,<=50K
Male,36,White,Married-civ-spouse,HS-grad,Italy,Private,Craft-repair,<=50K
Male,54,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Female,44,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Female,48,White,Divorced,Some-college,United-States,Private,Exec-managerial,<=50K
Female,32,White,Married-civ-spouse,Bachelors,United-States,Local-gov,Adm-clerical,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
Female,43,Black,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,37,White,Married-civ-spouse,10th,United-States,Private,Craft-repair,<=50K
Male,30,White,Married-civ-spouse,Doctorate,United-States,Private,Prof-specialty,>50K
Female,55,Black,Divorced,Assoc-acdm,United-States,Private,Sales,<=50K
Male,44,White,Married-civ-spouse,HS-grad,England,Self-emp-not-inc,Craft-repair,>50K
Male,25,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
Male,59,White,Married-civ-spouse,10th,United-States,Private,Transport-moving,<=50K
Male,30,White,Divorced,Some-college,United-States,Self-emp-not-inc,Craft-repair,<=50K
Male,25,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Exec-managerial,>50K
Female,47,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Other-service,>50K
Female,29,White,Married-spouse-absent,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,24,White,Never-married,11th,United-States,Private,Craft-repair,<=50K
Female,49,White,Divorced,HS-grad,United-States,Self-emp-not-inc,Other-service,<=50K
Female,62,White,Married-civ-spouse,Bachelors,United-States,Private,Adm-clerical,>50K
Male,41,White,Divorced,HS-grad,United-States,Self-emp-inc,Craft-repair,<=50K
Male,54,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Sales,<=50K
Female,52,White,Separated,HS-grad,United-States,Private,Priv-house-serv,<=50K
Male,35,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,19,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,22,White,Never-married,10th,Mexico,Private,Other-service,<=50K
Female,22,White,Never-married,Bachelors,United-States,Private,Adm-clerical,<=50K
Male,37,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Female,66,White,Widowed,HS-grad,United-States,Private,Sales,<=50K
Male,35,Amer-Indian-Eskimo,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Transport-moving,<=50K
Male,39,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,36,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,75,White,Married-civ-spouse,Some-college,United-States,Private,Transport-moving,<=50K
Male,55,Asian-Pac-Islander,Married-civ-spouse,Bachelors,Philippines,Private,Other-service,<=50K
Female,43,White,Divorced,Bachelors,United-States,Local-gov,Prof-specialty,<=50K
Female,41,White,Divorced,Some-college,United-States,Local-gov,Other-service,<=50K
Male,22,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,40,White,Married-civ-spouse,7th-8th,El-Salvador,Private,Craft-repair,<=50K
Female,51,White,Never-married,Bachelors,United-States,Private,Sales,>50K
Female,20,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Female,22,White,Never-married,HS-grad,Mexico,Private,Craft-repair,<=50K
Male,30,White,Married-civ-spouse,Some-college,United-States,Private,Machine-op-inspct,>50K
Male,46,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
Male,38,White,Married-civ-spouse,Bachelors,United-States,Private,Prof-specialty,>50K
Male,23,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Female,32,Black,Never-married,HS-grad,United-States,Federal-gov,Exec-managerial,<=50K
Male,33,White,Never-married,Assoc-voc,United-States,Local-gov,Adm-clerical,<=50K
Female,19,Black,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,51,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Female,54,White,Married-civ-spouse,Some-college,United-States,Private,Prof-specialty,<=50K
Male,52,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Transport-moving,<=50K
Male,51,White,Divorced,HS-grad,United-States,Local-gov,Protective-serv,<=50K
Female,27,Black,Never-married,HS-grad,United-States,Private,Exec-managerial,<=50K
Male,50,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Exec-managerial,<=50K
Male,24,White,Never-married,5th-6th,El-Salvador,Private,Craft-repair,<=50K
Female,18,Black,Never-married,11th,United-States,Private,Sales,<=50K
Female,55,White,Widowed,11th,United-States,Private,Adm-clerical,<=50K
Male,64,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,<=50K
Female,24,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,28,White,Married-civ-spouse,Some-college,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,55,White,Married-civ-spouse,10th,United-States,Private,Exec-managerial,<=50K
Male,42,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,<=50K
Male,50,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Male,31,Black,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,47,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Prof-specialty,>50K
Male,36,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Female,39,White,Divorced,Some-college,United-States,Private,Sales,<=50K
Female,28,Black,Never-married,Some-college,United-States,Federal-gov,Adm-clerical,<=50K
Male,60,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Male,58,Black,Married-civ-spouse,Some-college,United-States,Private,Sales,<=50K
Male,59,White,Married-civ-spouse,Masters,United-States,Self-emp-inc,Sales,<=50K
Male,54,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,>50K
Male,64,White,Married-civ-spouse,7th-8th,United-States,Private,Craft-repair,<=50K
Male,61,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,32,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,>50K
Female,31,Black,Separated,Some-college,United-States,Private,Other-service,<=50K
Male,25,White,Never-married,Bachelors,United-States,Private,Exec-managerial,<=50K
Female,57,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,<=50K
Male,44,Black,Married-civ-spouse,Assoc-voc,United-States,Private,Exec-managerial,<=50K
Male,39,White,Never-married,Assoc-acdm,United-States,Federal-gov,Prof-specialty,>50K
Female,21,Black,Never-married,11th,United-States,Private,Other-service,<=50K
Male,46,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,46,White,Never-married,Bachelors,United-States,State-gov,Exec-managerial,<=50K
Female,20,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Female,39,White,Divorced,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,48,White,Married-spouse-absent,Bachelors,United-States,Self-emp-not-inc,Sales,>50K
Male,41,White,Married-civ-spouse,Some-college,United-States,Private,Craft-repair,>50K
Male,41,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
Male,24,White,Married-civ-spouse,Some-college,United-States,State-gov,Prof-specialty,<=50K
Female,25,Asian-Pac-Islander,Never-married,Bachelors,Vietnam,Local-gov,Tech-support,<=50K
Male,32,White,Married-civ-spouse,Bachelors,United-States,State-gov,Protective-serv,>50K
Male,28,White,Married-civ-spouse,HS-grad,Canada,Private,Craft-repair,<=50K
Male,37,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Transport-moving,<=50K
Male,43,White,Never-married,Assoc-acdm,United-States,Private,Sales,<=50K
Male,71,White,Married-civ-spouse,Prof-school,United-States,Self-emp-not-inc,Farming-fishing,<=50K
Male,44,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Female,43,Asian-Pac-Islander,Married-civ-spouse,Bachelors,South,Self-emp-not-inc,Sales,<=50K
Female,41,Asian-Pac-Islander,Divorced,Assoc-acdm,United-States,State-gov,Prof-specialty,<=50K
Male,62,White,Divorced,Some-college,United-States,Local-gov,Other-service,<=50K
Male,74,White,Married-civ-spouse,HS-grad,United-States,Private,Other-service,<=50K
Male,53,White,Married-civ-spouse,Bachelors,United-States,Private,Sales,>50K
Female,21,White,Separated,HS-grad,United-States,Private,Other-service,<=50K
Male,30,White,Never-married,Assoc-acdm,United-States,Private,Craft-repair,>50K
Female,42,White,Divorced,Bachelors,United-States,Private,Adm-clerical,<=50K
Male,51,White,Never-married,HS-grad,United-States,Private,Craft-repair,>50K
Female,59,White,Divorced,11th,United-States,Private,Adm-clerical,<=50K
Male,24,White,Never-married,HS-grad,United-States,Private,Sales,<=50K
Male,60,White,Married-civ-spouse,Bachelors,United-States,Self-emp-inc,Prof-specialty,>50K
Female,30,Asian-Pac-Islander,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Male,53,Black,Married-civ-spouse,HS-grad,United-States,Private,Other-service,>50K
Male,53,White,Married-civ-spouse,7th-8th,United-States,Private,Machine-op-inspct,<=50K
Male,43,White,Married-civ-spouse,Bachelors,United-States,Private,Machine-op-inspct,>50K
Female,55,Black,Never-married,7th-8th,United-States,Local-gov,Other-service,<=50K
Female,32,White,Divorced,Assoc-acdm,United-States,Private,Prof-specialty,<=50K
Male,51,White,Married-civ-spouse,Prof-school,United-States,Self-emp-inc,Prof-specialty,>50K
Female,22,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
Male,46,White,Married-civ-spouse,Some-college,United-States,Private,Prof-specialty,>50K
Male,19,White,Never-married,HS-grad,United-States,Private,Transport-moving,<=50K
Female,35,White,Divorced,HS-grad,United-States,Private,Transport-moving,>50K
Male,27,White,Married-civ-spouse,HS-grad,United-States,Private,Adm-clerical,<=50K
Male,23,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
Male,38,White,Married-civ-spouse,7th-8th,Portugal,Private,Farming-fishing,<=50K
Female,56,White,Widowed,Some-college,United-States,Private,Craft-repair,<=50K
Male,27,White,Married-civ-spouse,Assoc-voc,United-States,Private,Sales,<=50K
Female,45,White,Divorced,Assoc-voc,United-States,Private,Other-service,<=50K
Male,54,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,>50K
Female,47,White,Divorced,HS-grad,United-States,Local-gov,Exec-managerial,<=50K
Female,37,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Prof-specialty,>50K
Female,49,White,Divorced,HS-grad,United-States,Private,Other-service,<=50K
Male,27,White,Never-married,Some-college,United-States,Self-emp-not-inc,Sales,<=50K
Male,31,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Male,33,White,Married-civ-spouse,HS-grad,United-States,Private,Handlers-cleaners,<=50K
Male,31,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
Female,31,White,Divorced,Masters,United-States,State-gov,Exec-managerial,>50K
Female,34,White,Separated,HS-grad,United-States,State-gov,Adm-clerical,<=50K
Female,38,Black,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
Male,32,White,Married-civ-spouse,11th,United-States,Private,Machine-op-inspct,<=50K
Male,57,White,Married-civ-spouse,Prof-school,United-States,Self-emp-not-inc,Prof-specialty,>50K
Male,53,White,Married-civ-spouse,Masters,United-States,Private,Exec-managerial,>50K
Male,56,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Sales,>50K
Male,48,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Craft-repair,>50K
Male,32,Asian-Pac-Islander,Divorced,Bachelors,Iran,Self-emp-not-inc,Craft-repair,<=50K
Female,75,Black,Married-civ-spouse,1st-4th,United-States,Private,Other-service,<=50K
Male,51,White,Married-civ-spouse,HS-grad,United-States,Self-emp-not-inc,Transport-moving,<=50K
Male,38,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
Male,31,White,Married-civ-spouse,HS-grad,United-States,Self-emp-inc,Craft-repair,<=50K
Female,23,White,Never-married,HS-grad,United-States,Private,Adm-clerical,<=50K
Female,35,White,Widowed,HS-grad,United-States,Private,Exec-managerial,<=50K
Female,32,Black,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
Male,33,White,Divorced,9th,United-States,Private,Craft-repair,<=50K
Male,40,White,Married-civ-spouse,Some-college,United-States,Private,Adm-clerical,>50K
Male,52,White,Married-civ-spouse,Some-college,United-States,Local-gov,Transport-moving,<=50K
Male,46,Black,Married-civ-spouse,Bachelors,United-States,State-gov,Prof-specialty,>50K
